Gene	SCZ_p	SCZ_q	BPD_p	BPD_q	Vagas_PGC_SCZ_p	Vagas_PGC_BPD_p	t_product_q
TMEM125	2.09E-03	1.32E-01	5.45E-02	2.99E-01	1.54E-02	2.28E-01	7.02E-02
ZNF775	1.07E-02	2.02E-01	1.97E-02	2.09E-01	2.84E-01	2.74E-01	7.02E-02
FAM45A	5.73E-03	1.67E-01	3.24E-02	2.47E-01	8.22E-02	4.03E-01	7.02E-02
LGALS3BP	1.45E-03	1.30E-01	6.54E-02	3.22E-01	9.73E-02	1.34E-01	7.15E-02
MARK1	6.20E-02	3.43E-01	1.68E-03	1.15E-01	5.87E-01	6.28E-02	7.15E-02
SS18	9.36E-03	1.93E-01	2.36E-02	2.22E-01	6.20E-01	5.50E-01	7.15E-02
RAB9A	4.66E-02	3.12E-01	3.14E-03	1.35E-01	NA	NA	7.15E-02
CTDSP2	8.77E-03	1.88E-01	2.43E-02	2.24E-01	3.46E-01	9.20E-01	7.15E-02
ECI2	1.59E-02	2.26E-01	1.44E-02	1.92E-01	NA	NA	7.15E-02
AP1AR	1.02E-02	1.99E-01	2.18E-02	2.19E-01	NA	NA	7.15E-02
CCDC68	1.10E-01	4.29E-01	2.65E-04	6.73E-02	4.55E-01	9.14E-01	7.15E-02
FUT10	2.21E-02	2.49E-01	9.93E-03	1.77E-01	7.74E-01	4.59E-01	7.15E-02
SMYD4	2.82E-03	1.42E-01	4.87E-02	2.87E-01	2.02E-03	6.60E-01	7.15E-02
C19orf63	6.41E-02	3.48E-01	1.58E-03	1.14E-01	1.16E-01	1.39E-01	7.15E-02
COMT	1.04E-02	2.00E-01	2.26E-02	2.21E-01	1.02E-01	3.33E-01	7.20E-02
GRIA3	2.44E-02	2.59E-01	9.21E-03	1.75E-01	NA	NA	7.20E-02
MAPK8	5.96E-02	3.39E-01	1.95E-03	1.17E-01	2.21E-01	4.07E-01	7.20E-02
HTRA1	7.28E-03	1.79E-01	2.87E-02	2.38E-01	7.94E-01	9.94E-01	7.20E-02
TERF1	7.87E-03	1.83E-01	2.71E-02	2.33E-01	4.00E-01	6.21E-01	7.20E-02
ARID1A	1.78E-03	1.31E-01	6.16E-02	3.15E-01	1.16E-02	4.66E-01	7.20E-02
PREB	5.84E-02	3.37E-01	2.05E-03	1.18E-01	7.57E-02	2.27E-01	7.20E-02
CAP2	4.03E-02	2.97E-01	4.30E-03	1.45E-01	6.72E-01	8.12E-01	7.20E-02
FBXO46	1.11E-01	4.30E-01	2.94E-04	7.05E-02	3.89E-01	2.65E-01	7.20E-02
MMADHC	5.50E-02	3.30E-01	2.37E-03	1.25E-01	NA	NA	7.20E-02
SLC45A4	1.96E-02	2.38E-01	1.20E-02	1.83E-01	4.27E-01	5.27E-03	7.20E-02
FNDC4	4.92E-03	1.60E-01	3.78E-02	2.63E-01	4.77E-05	1.66E-02	7.20E-02
JAGN1	2.92E-04	9.18E-02	1.10E-01	4.01E-01	7.02E-01	2.95E-01	7.20E-02
WDR34	1.54E-02	2.24E-01	1.57E-02	1.97E-01	3.89E-01	2.31E-01	7.20E-02
NBPF11	7.02E-03	1.79E-01	2.99E-02	2.40E-01	NA	NA	7.20E-02
PCP4L1	7.51E-04	1.01E-01	8.47E-02	3.58E-01	4.70E-02	7.20E-02	7.20E-02
ACAA1	8.87E-02	3.95E-01	7.13E-04	8.49E-02	4.47E-01	3.75E-01	7.35E-02
CHST6	6.28E-03	1.73E-01	3.37E-02	2.50E-01	2.76E-01	6.48E-01	7.35E-02
SYT1	1.39E-02	2.15E-01	1.79E-02	2.04E-01	2.03E-01	1.68E-01	7.35E-02
KCNQ1OT1	7.39E-03	1.80E-01	2.95E-02	2.40E-01	NA	NA	7.35E-02
FRAS1	4.51E-02	3.08E-01	3.86E-03	1.42E-01	4.76E-01	9.12E-01	7.35E-02
DPP9	2.86E-03	1.42E-01	5.19E-02	2.93E-01	5.51E-01	7.81E-01	7.35E-02
BZW1P2	5.11E-02	3.23E-01	2.97E-03	1.32E-01	NA	NA	7.35E-02
USP12	1.93E-02	2.37E-01	1.31E-02	1.86E-01	1.10E-01	5.74E-01	7.35E-02
SLC9A9	1.46E-03	1.30E-01	6.87E-02	3.30E-01	2.01E-01	3.84E-01	7.35E-02
CAT	1.16E-03	1.19E-01	7.82E-02	3.47E-01	3.19E-01	7.38E-01	7.43E-02
HIP1	1.55E-04	7.45E-02	1.34E-01	4.31E-01	3.80E-01	8.21E-01	7.43E-02
IDH3A	2.83E-02	2.73E-01	8.42E-03	1.73E-01	9.29E-01	8.81E-01	7.43E-02
RGS4	4.90E-02	3.17E-01	3.52E-03	1.39E-01	8.16E-01	2.84E-01	7.43E-02
SMO	4.96E-02	3.18E-01	3.38E-03	1.37E-01	2.20E-01	3.91E-01	7.43E-02
PPAP2C	1.43E-02	2.17E-01	1.83E-02	2.04E-01	9.68E-01	9.93E-01	7.43E-02
SELENBP1	9.37E-03	1.93E-01	2.62E-02	2.30E-01	2.49E-01	1.49E-01	7.43E-02
ACTR2	3.57E-02	2.85E-01	6.07E-03	1.54E-01	8.29E-01	9.50E-01	7.43E-02
DUSP10	9.47E-02	4.05E-01	6.09E-04	8.49E-02	2.96E-01	7.73E-01	7.43E-02
SNX12	3.09E-03	1.46E-01	5.16E-02	2.93E-01	NA	NA	7.43E-02
FGFRL1	8.31E-03	1.87E-01	2.90E-02	2.38E-01	8.80E-01	4.32E-02	7.43E-02
ZFHX4	4.59E-03	1.57E-01	4.20E-02	2.73E-01	6.37E-01	1.80E-01	7.43E-02
100126784	6.94E-02	3.61E-01	1.52E-03	1.14E-01	NA	NA	7.43E-02
BMPR1B	1.00E-02	1.98E-01	2.58E-02	2.29E-01	7.08E-01	3.86E-01	7.61E-02
CNTFR	4.31E-02	3.04E-01	4.61E-03	1.46E-01	7.87E-01	3.36E-01	7.61E-02
CPLX2	1.80E-03	1.31E-01	6.69E-02	3.25E-01	7.61E-01	3.11E-01	7.61E-02
PHF19	5.25E-03	1.64E-01	4.01E-02	2.69E-01	6.17E-01	2.99E-01	7.61E-02
SUFU	1.27E-02	2.08E-01	2.11E-02	2.16E-01	1.36E-02	2.05E-02	7.61E-02
ABCC12	1.20E-02	2.07E-01	2.22E-02	2.20E-01	4.41E-01	6.05E-01	7.61E-02
ADORA2B	6.75E-03	1.78E-01	3.49E-02	2.53E-01	5.43E-01	6.80E-01	7.66E-02
SLC25A20	7.75E-03	1.82E-01	3.26E-02	2.47E-01	2.51E-01	5.42E-02	7.66E-02
HSPA1L	2.84E-02	2.73E-01	9.12E-03	1.75E-01	7.81E-04	1.91E-01	7.66E-02
INSR	2.45E-02	2.60E-01	1.09E-02	1.79E-01	4.42E-01	7.08E-01	7.66E-02
PLXNB3	4.66E-03	1.57E-01	4.38E-02	2.77E-01	NA	NA	7.66E-02
ZNF193	8.79E-02	3.95E-01	9.26E-04	9.63E-02	2.22E-07	5.34E-02	7.66E-02
SART3	1.26E-01	4.52E-01	2.46E-04	6.70E-02	4.21E-01	2.73E-01	7.66E-02
TESK2	1.03E-01	4.19E-01	5.32E-04	8.49E-02	6.43E-01	6.03E-01	7.66E-02
RAPGEF4	1.25E-02	2.07E-01	2.27E-02	2.21E-01	2.84E-01	1.49E-01	7.66E-02
RGS17	2.82E-02	2.73E-01	9.39E-03	1.75E-01	8.90E-02	9.82E-03	7.66E-02
TRNAU1AP	1.58E-01	4.92E-01	7.49E-05	5.22E-02	NA	NA	7.66E-02
ARHGAP17	7.24E-02	3.67E-01	1.56E-03	1.14E-01	2.54E-01	1.54E-01	7.66E-02
METTL21A	2.64E-02	2.68E-01	1.00E-02	1.77E-01	NA	NA	7.66E-02
ANKRD37	3.85E-02	2.91E-01	5.98E-03	1.54E-01	1.68E-01	3.51E-01	7.66E-02
TSPAN11	2.77E-02	2.72E-01	9.33E-03	1.75E-01	2.74E-01	3.54E-01	7.66E-02
CCND2	1.75E-02	2.31E-01	1.79E-02	2.04E-01	1.55E-01	8.74E-01	7.74E-02
DYNC1I2	6.92E-03	1.78E-01	3.74E-02	2.62E-01	3.49E-03	8.64E-01	7.74E-02
CLN8	1.66E-02	2.28E-01	1.89E-02	2.05E-01	2.23E-01	3.80E-01	7.74E-02
FXN	1.82E-03	1.31E-01	7.21E-02	3.35E-01	2.66E-01	7.91E-01	7.74E-02
GRIN2C	2.50E-02	2.61E-01	1.12E-02	1.80E-01	5.58E-01	7.69E-01	7.74E-02
LGALS8	4.21E-03	1.52E-01	4.84E-02	2.86E-01	8.98E-01	5.14E-01	7.74E-02
MYT1	6.39E-03	1.74E-01	3.94E-02	2.67E-01	3.34E-01	3.63E-02	7.74E-02
PLTP	1.73E-02	2.30E-01	1.73E-02	2.01E-01	5.62E-01	1.02E-01	7.74E-02
TP53BP2	4.56E-02	3.09E-01	4.52E-03	1.45E-01	1.11E-01	9.27E-01	7.74E-02
YWHAG	6.01E-02	3.40E-01	2.74E-03	1.30E-01	2.90E-01	1.12E-02	7.74E-02
ZMYM5	1.07E-02	2.02E-01	2.66E-02	2.31E-01	1.08E-01	5.31E-01	7.74E-02
CHST10	1.46E-01	4.78E-01	1.28E-04	5.27E-02	2.33E-01	1.05E-01	7.74E-02
EIF1B	5.14E-03	1.62E-01	4.39E-02	2.77E-01	4.40E-01	1.41E-01	7.74E-02
DDHD2	2.31E-02	2.54E-01	1.31E-02	1.86E-01	1.29E-03	5.44E-01	7.74E-02
KCNIP3	8.99E-03	1.89E-01	3.04E-02	2.41E-01	1.98E-01	7.13E-01	7.74E-02
MRPL2	5.91E-03	1.69E-01	4.13E-02	2.72E-01	1.99E-01	3.08E-01	7.74E-02
MRPS2	2.96E-02	2.75E-01	9.70E-03	1.77E-01	2.32E-01	8.12E-01	7.74E-02
SBNO1	1.83E-02	2.34E-01	1.72E-02	2.01E-01	1.85E-02	2.65E-01	7.74E-02
FAM63A	4.30E-03	1.54E-01	4.72E-02	2.83E-01	1.45E-01	1.18E-01	7.74E-02
SNX14	4.03E-03	1.51E-01	5.10E-02	2.91E-01	8.88E-02	8.67E-01	7.74E-02
ZDBF2	5.78E-02	3.36E-01	2.98E-03	1.32E-01	3.62E-01	3.61E-02	7.74E-02
NPAS3	7.87E-03	1.83E-01	3.24E-02	2.47E-01	6.81E-02	6.13E-02	7.74E-02
NAA16	1.35E-02	2.12E-01	2.15E-02	2.17E-01	NA	NA	7.74E-02
ZNF394	6.08E-03	1.72E-01	4.02E-02	2.69E-01	1.71E-01	1.10E-01	7.74E-02
KIF19	2.59E-03	1.41E-01	6.24E-02	3.17E-01	4.68E-01	8.65E-01	7.74E-02
PRIMA1	3.50E-03	1.48E-01	5.43E-02	2.99E-01	5.89E-01	6.19E-01	7.74E-02
JAKMIP1	7.74E-03	1.82E-01	3.48E-02	2.52E-01	9.96E-02	6.88E-01	7.74E-02
EID2	4.33E-03	1.54E-01	4.91E-02	2.88E-01	7.61E-01	6.52E-01	7.74E-02
CADM4	2.18E-02	2.47E-01	1.42E-02	1.92E-01	7.43E-01	7.51E-01	7.74E-02
PI16	2.12E-03	1.33E-01	6.73E-02	3.27E-01	3.43E-01	5.74E-02	7.74E-02
C20orf203	2.50E-02	2.61E-01	1.17E-02	1.80E-01	NA	NA	7.74E-02
PCSK2	8.83E-03	1.88E-01	3.28E-02	2.47E-01	4.66E-01	2.35E-01	7.90E-02
GRAMD3	5.66E-03	1.66E-01	4.28E-02	2.75E-01	2.16E-01	8.66E-01	7.90E-02
ZFAND1	1.04E-02	2.00E-01	2.92E-02	2.39E-01	8.54E-01	3.17E-01	7.90E-02
HM13	8.26E-02	3.85E-01	1.38E-03	1.11E-01	8.58E-01	1.70E-01	7.90E-02
FAM105B	2.76E-03	1.42E-01	6.24E-02	3.17E-01	9.11E-01	4.60E-02	7.90E-02
FAM5C	1.25E-03	1.22E-01	8.44E-02	3.58E-01	3.61E-01	3.42E-01	7.90E-02
NAP1L2	1.70E-02	2.29E-01	1.93E-02	2.07E-01	NA	NA	8.01E-02
PAFAH2	2.46E-03	1.40E-01	6.67E-02	3.25E-01	5.73E-01	1.95E-01	8.01E-02
SLC22A5	5.15E-04	9.26E-02	1.14E-01	4.09E-01	1.48E-01	7.98E-01	8.01E-02
SURF4	5.00E-03	1.60E-01	4.74E-02	2.83E-01	7.51E-01	7.34E-01	8.01E-02
CNKSR1	3.05E-02	2.77E-01	9.98E-03	1.77E-01	1.57E-01	2.02E-01	8.01E-02
SIGMAR1	2.11E-02	2.44E-01	1.58E-02	1.97E-01	NA	NA	8.01E-02
PLA2G16	2.17E-02	2.47E-01	1.50E-02	1.94E-01	NA	NA	8.01E-02
ZHX2	2.72E-03	1.42E-01	6.36E-02	3.19E-01	1.52E-01	7.61E-01	8.01E-02
DPY19L1	3.49E-02	2.83E-01	8.14E-03	1.72E-01	2.05E-01	3.31E-01	8.01E-02
C17orf53	2.37E-02	2.57E-01	1.36E-02	1.89E-01	8.10E-01	3.65E-03	8.01E-02
KCNN3	9.79E-03	1.97E-01	3.23E-02	2.47E-01	3.86E-02	2.61E-01	8.11E-02
MDM4	1.08E-02	2.02E-01	2.99E-02	2.40E-01	2.15E-01	4.59E-01	8.11E-02
RGR	2.71E-03	1.42E-01	6.62E-02	3.24E-01	3.74E-01	5.48E-01	8.11E-02
RNF13	3.42E-02	2.83E-01	8.80E-03	1.73E-01	8.44E-01	2.16E-01	8.11E-02
NUP188	8.00E-02	3.80E-01	1.62E-03	1.14E-01	2.35E-02	1.02E-01	8.11E-02
GLTP	3.94E-03	1.51E-01	5.60E-02	3.03E-01	2.79E-01	3.65E-02	8.11E-02
SLC7A10	6.05E-02	3.41E-01	3.22E-03	1.36E-01	2.76E-02	3.11E-01	8.11E-02
ZNF385D	6.55E-03	1.76E-01	4.18E-02	2.73E-01	1.39E-01	4.14E-01	8.11E-02
NAIF1	5.27E-02	3.26E-01	4.29E-03	1.45E-01	2.59E-01	8.81E-02	8.11E-02
THEMIS	5.20E-02	3.24E-01	4.35E-03	1.45E-01	NA	NA	8.11E-02
CTNNA1	2.01E-02	2.41E-01	1.80E-02	2.04E-01	3.86E-02	8.41E-01	8.19E-02
ITGA2	3.74E-02	2.90E-01	8.39E-03	1.73E-01	6.83E-01	7.15E-01	8.19E-02
MMP19	7.84E-02	3.78E-01	1.95E-03	1.17E-01	5.67E-01	2.22E-01	8.19E-02
PAK1	1.38E-02	2.14E-01	2.56E-02	2.28E-01	4.46E-01	2.93E-01	8.19E-02
PPAP2B	2.78E-02	2.72E-01	1.25E-02	1.85E-01	7.97E-01	3.61E-01	8.19E-02
GAL3ST1	1.54E-03	1.30E-01	8.52E-02	3.59E-01	2.38E-01	2.66E-01	8.19E-02
ZNF395	1.14E-02	2.06E-01	2.98E-02	2.40E-01	7.67E-01	9.46E-01	8.19E-02
KIAA1377	4.18E-03	1.52E-01	5.57E-02	3.02E-01	4.28E-01	3.05E-02	8.19E-02
ALS2CR12	1.45E-02	2.18E-01	2.44E-02	2.24E-01	2.79E-01	4.15E-01	8.19E-02
RAB12	3.58E-02	2.85E-01	8.93E-03	1.73E-01	2.64E-01	4.55E-01	8.19E-02
LOC647979	3.61E-02	2.86E-01	8.83E-03	1.73E-01	NA	NA	8.19E-02
LDB2	2.92E-02	2.75E-01	1.21E-02	1.83E-01	3.25E-01	5.29E-01	8.31E-02
PSME3	2.88E-02	2.74E-01	1.24E-02	1.85E-01	0.00E+00	5.70E-02	8.31E-02
MLLT11	1.57E-02	2.25E-01	2.38E-02	2.22E-01	1.73E-01	4.49E-02	8.31E-02
ACSBG1	3.23E-02	2.80E-01	1.06E-02	1.78E-01	2.07E-01	3.87E-01	8.31E-02
BAMBI	1.43E-03	1.30E-01	8.88E-02	3.66E-01	6.10E-01	1.18E-01	8.31E-02
TMEM98	1.83E-03	1.31E-01	8.18E-02	3.52E-01	5.99E-01	6.95E-01	8.31E-02
C6orf168	1.28E-02	2.09E-01	2.84E-02	2.37E-01	2.81E-01	5.32E-01	8.31E-02
HEATR4	4.75E-02	3.14E-01	5.98E-03	1.54E-01	5.71E-02	1.42E-01	8.31E-02
GFRA1	1.57E-02	2.25E-01	2.40E-02	2.23E-01	7.53E-01	9.33E-01	8.39E-02
CDK18	1.97E-02	2.38E-01	2.01E-02	2.11E-01	NA	NA	8.39E-02
PNMA2	3.45E-02	2.83E-01	1.03E-02	1.78E-01	5.25E-01	5.34E-01	8.39E-02
KIFAP3	2.33E-02	2.55E-01	1.66E-02	1.98E-01	3.56E-01	7.53E-01	8.39E-02
C3orf75	3.84E-02	2.91E-01	8.84E-03	1.73E-01	NA	NA	8.39E-02
AS3MT	2.05E-02	2.42E-01	1.90E-02	2.06E-01	5.56E-07	3.94E-02	8.39E-02
TMPRSS5	1.27E-02	2.08E-01	2.90E-02	2.38E-01	4.23E-01	6.98E-01	8.39E-02
ABHD15	1.21E-02	2.07E-01	3.06E-02	2.42E-01	NA	NA	8.39E-02
USP54	1.04E-02	2.00E-01	3.38E-02	2.50E-01	7.97E-02	9.98E-01	8.39E-02
KCTD6	9.60E-03	1.96E-01	3.57E-02	2.56E-01	2.71E-01	4.94E-01	8.39E-02
C6orf145	1.55E-02	2.25E-01	2.52E-02	2.26E-01	9.42E-02	7.50E-01	8.39E-02
ADH5	5.20E-02	3.24E-01	5.59E-03	1.52E-01	5.79E-01	7.98E-01	8.53E-02
FLT3	3.22E-02	2.80E-01	1.18E-02	1.82E-01	3.04E-01	1.50E-01	8.53E-02
HYAL2	4.30E-02	3.04E-01	7.65E-03	1.66E-01	5.31E-01	6.12E-02	8.53E-02
CAB39	5.79E-02	3.36E-01	4.41E-03	1.45E-01	4.58E-01	7.21E-01	8.53E-02
PSRC1	4.55E-02	3.09E-01	7.00E-03	1.61E-01	4.16E-01	5.92E-02	8.53E-02
LONRF2	5.85E-02	3.37E-01	4.31E-03	1.45E-01	9.40E-01	4.69E-01	8.53E-02
DDR1	3.77E-02	2.90E-01	9.86E-03	1.77E-01	7.91E-05	1.75E-02	8.61E-02
CPT1A	2.47E-02	2.60E-01	1.65E-02	1.98E-01	1.48E-01	1.83E-03	8.61E-02
KCNJ2	2.48E-04	8.72E-02	1.49E-01	4.51E-01	6.10E-01	6.84E-01	8.61E-02
PIP4K2A	4.17E-04	9.26E-02	1.33E-01	4.30E-01	7.72E-01	6.29E-01	8.61E-02
C10orf26	4.49E-02	3.08E-01	7.41E-03	1.65E-01	6.31E-05	3.44E-02	8.61E-02
LINS	9.31E-03	1.93E-01	3.89E-02	2.66E-01	NA	NA	8.61E-02
WFDC1	2.75E-02	2.70E-01	1.48E-02	1.94E-01	4.26E-01	5.65E-01	8.61E-02
ZFYVE21	1.93E-02	2.37E-01	2.18E-02	2.19E-01	2.02E-03	1.03E-01	8.61E-02
WDR78	3.69E-02	2.88E-01	1.01E-02	1.77E-01	4.10E-01	8.20E-01	8.61E-02
MAGT1	2.06E-02	2.42E-01	2.03E-02	2.12E-01	NA	NA	8.61E-02
SMC4	1.10E-02	2.03E-01	3.55E-02	2.55E-01	2.62E-01	4.46E-01	8.69E-02
GHITM	3.53E-02	2.84E-01	1.11E-02	1.80E-01	4.95E-01	3.09E-01	8.69E-02
ELAC1	1.74E-02	2.31E-01	2.43E-02	2.24E-01	2.74E-01	2.49E-01	8.69E-02
BEX1	4.32E-04	9.26E-02	1.33E-01	4.30E-01	NA	NA	8.69E-02
BEND5	1.01E-02	1.98E-01	3.77E-02	2.63E-01	NA	NA	8.69E-02
TJAP1	1.74E-03	1.31E-01	8.97E-02	3.67E-01	3.14E-02	2.95E-01	8.69E-02
RNF157	9.07E-03	1.90E-01	4.05E-02	2.70E-01	6.49E-02	6.48E-01	8.69E-02
BLOC1S2	2.81E-02	2.73E-01	1.48E-02	1.94E-01	2.44E-01	5.62E-02	8.69E-02
TPRN	8.55E-02	3.91E-01	2.00E-03	1.18E-01	NA	NA	8.69E-02
ZNF805	2.34E-03	1.36E-01	8.09E-02	3.50E-01	NA	NA	8.69E-02
TMEM229A	7.91E-02	3.79E-01	2.43E-03	1.26E-01	NA	NA	8.69E-02
DNASE2	4.59E-02	3.11E-01	7.78E-03	1.67E-01	3.29E-02	3.09E-01	8.75E-02
HADHA	5.38E-02	3.28E-01	5.88E-03	1.54E-01	1.71E-01	9.72E-01	8.75E-02
MKRN3	8.75E-03	1.88E-01	4.20E-02	2.73E-01	3.62E-01	1.13E-01	8.75E-02
HMGN3	4.45E-02	3.07E-01	8.22E-03	1.72E-01	8.60E-01	6.55E-01	8.75E-02
WIF1	7.42E-03	1.80E-01	4.74E-02	2.83E-01	8.44E-01	4.07E-01	8.75E-02
NKIRAS2	5.64E-04	9.26E-02	1.27E-01	4.25E-01	3.59E-01	3.86E-01	8.75E-02
EHD2	1.73E-02	2.30E-01	2.49E-02	2.25E-01	4.29E-01	6.07E-01	8.75E-02
FAM108B1	1.23E-02	2.07E-01	3.32E-02	2.49E-01	6.16E-01	4.60E-01	8.75E-02
PGPEP1	2.84E-02	2.73E-01	1.50E-02	1.94E-01	1.19E-02	1.40E-01	8.75E-02
FAM49A	6.82E-02	3.58E-01	3.63E-03	1.39E-01	5.29E-01	1.34E-01	8.75E-02
PPM1K	3.66E-03	1.49E-01	6.76E-02	3.27E-01	3.51E-01	9.61E-01	8.75E-02
RHOG	4.38E-03	1.54E-01	6.46E-02	3.21E-01	3.60E-01	4.09E-01	8.82E-02
CHKA	1.04E-02	2.00E-01	3.88E-02	2.66E-01	3.58E-02	7.02E-01	8.82E-02
CTNND2	2.49E-02	2.60E-01	1.80E-02	2.04E-01	5.67E-03	9.94E-01	8.82E-02
MYO5A	1.16E-01	4.37E-01	8.33E-04	9.19E-02	7.36E-01	3.45E-01	8.82E-02
PLOD1	2.69E-02	2.70E-01	1.68E-02	1.99E-01	1.09E-02	3.85E-01	8.82E-02
SGTA	3.74E-02	2.90E-01	1.11E-02	1.80E-01	5.25E-01	1.27E-01	8.82E-02
CTSF	9.06E-02	3.98E-01	1.89E-03	1.17E-01	2.31E-01	1.52E-03	8.82E-02
NUAK1	2.18E-02	2.47E-01	2.12E-02	2.16E-01	7.56E-01	4.46E-01	8.82E-02
RALY	5.60E-02	3.32E-01	5.69E-03	1.53E-01	8.66E-01	1.03E-01	8.82E-02
ALG10B	3.31E-02	2.81E-01	1.28E-02	1.86E-01	6.80E-01	9.08E-01	8.82E-02
ZC3H6	1.20E-02	2.07E-01	3.54E-02	2.54E-01	4.49E-01	6.11E-01	8.82E-02
KCNC2	5.13E-02	3.23E-01	6.98E-03	1.61E-01	6.84E-01	2.44E-01	8.91E-02
OSBPL2	4.61E-03	1.57E-01	6.42E-02	3.21E-01	6.82E-01	1.18E-03	8.91E-02
ZBTB43	9.84E-04	1.17E-01	1.14E-01	4.08E-01	2.57E-01	7.69E-01	8.91E-02
PIPOX	8.94E-02	3.96E-01	2.02E-03	1.18E-01	2.45E-01	3.92E-01	8.91E-02
NDRG2	3.32E-02	2.81E-01	1.33E-02	1.87E-01	2.66E-01	9.72E-01	8.91E-02
GPAM	1.07E-02	2.02E-01	3.87E-02	2.65E-01	5.51E-01	1.08E-01	8.91E-02
ACAD10	1.10E-01	4.29E-01	1.11E-03	1.02E-01	5.21E-01	4.76E-01	8.91E-02
MGC16703	2.06E-02	2.42E-01	2.26E-02	2.21E-01	NA	NA	8.91E-02
RALYL	6.68E-03	1.77E-01	5.31E-02	2.96E-01	2.95E-01	6.68E-01	8.91E-02
COX11	3.25E-02	2.81E-01	1.43E-02	1.92E-01	8.47E-03	7.86E-01	8.93E-02
CRYAB	3.30E-03	1.48E-01	7.53E-02	3.41E-01	4.60E-01	1.07E-01	8.93E-02
GABRG2	4.69E-02	3.13E-01	8.54E-03	1.73E-01	4.34E-02	6.05E-01	8.93E-02
GAD1	3.46E-02	2.83E-01	1.29E-02	1.86E-01	9.33E-01	5.39E-01	8.93E-02
GP1BA	7.26E-02	3.68E-01	3.63E-03	1.39E-01	7.67E-01	3.97E-01	8.93E-02
DNAJB2	1.27E-02	2.08E-01	3.58E-02	2.56E-01	1.53E-01	5.76E-01	8.93E-02
NTRK2	4.97E-03	1.60E-01	6.27E-02	3.17E-01	2.10E-01	6.75E-01	8.93E-02
TCEB3	6.57E-02	3.52E-01	4.55E-03	1.45E-01	5.05E-01	9.68E-01	8.93E-02
CTR9	3.80E-03	1.49E-01	7.11E-02	3.33E-01	7.29E-01	6.36E-02	8.93E-02
ICK	1.95E-02	2.38E-01	2.49E-02	2.25E-01	6.59E-01	4.84E-01	8.93E-02
SH3BP1	4.81E-04	9.26E-02	1.39E-01	4.37E-01	4.44E-01	1.03E-01	8.93E-02
ZC3HAV1	5.78E-03	1.67E-01	5.76E-02	3.05E-01	7.13E-01	6.54E-03	8.93E-02
SLC4A10	7.21E-02	3.67E-01	3.67E-03	1.39E-01	2.73E-03	9.62E-02	8.93E-02
PCIF1	1.40E-02	2.16E-01	3.27E-02	2.47E-01	3.69E-01	1.15E-02	8.93E-02
ZNF34	1.00E-01	4.14E-01	1.58E-03	1.14E-01	4.21E-02	1.77E-02	8.93E-02
KCNS3	1.03E-02	2.00E-01	4.16E-02	2.73E-01	5.31E-02	2.72E-02	9.02E-02
MAG	2.40E-02	2.58E-01	2.12E-02	2.16E-01	6.00E-01	9.59E-01	9.02E-02
WWC1	2.02E-02	2.41E-01	2.45E-02	2.25E-01	6.16E-01	4.89E-01	9.02E-02
ATMIN	1.96E-02	2.38E-01	2.56E-02	2.28E-01	8.43E-02	9.92E-01	9.02E-02
ISCU	4.33E-03	1.54E-01	6.87E-02	3.30E-01	5.11E-01	2.24E-01	9.02E-02
NLGN3	5.92E-03	1.69E-01	5.83E-02	3.07E-01	NA	NA	9.02E-02
C17orf42	2.00E-02	2.39E-01	2.49E-02	2.25E-01	1.93E-02	8.91E-01	9.02E-02
MTX3	1.79E-01	5.16E-01	1.49E-04	5.53E-02	6.74E-01	3.72E-02	9.02E-02
CD22	4.19E-03	1.52E-01	7.11E-02	3.33E-01	6.21E-01	7.59E-01	9.14E-02
PARK2	4.69E-02	3.13E-01	9.04E-03	1.74E-01	5.74E-01	9.22E-01	9.14E-02
FAM53B	3.37E-04	9.24E-02	1.54E-01	4.57E-01	2.52E-01	7.81E-01	9.14E-02
MTUS1	7.13E-04	9.91E-02	1.30E-01	4.28E-01	8.65E-01	1.15E-01	9.14E-02
ZFAND3	1.77E-02	2.31E-01	2.87E-02	2.37E-01	3.56E-01	1.21E-01	9.14E-02
ATPAF1	1.05E-01	4.21E-01	1.54E-03	1.14E-01	9.47E-01	8.63E-01	9.14E-02
ADSS	4.12E-02	3.00E-01	1.14E-02	1.80E-01	1.30E-01	5.68E-01	9.18E-02
BCL2L2	2.52E-03	1.41E-01	8.92E-02	3.66E-01	4.03E-01	6.51E-01	9.18E-02
PMS2P5	1.47E-02	2.20E-01	3.39E-02	2.50E-01	NA	NA	9.18E-02
SLC25A14	9.95E-03	1.98E-01	4.49E-02	2.79E-01	NA	NA	9.18E-02
MFN2	8.39E-03	1.87E-01	5.01E-02	2.89E-01	2.91E-03	1.89E-01	9.18E-02
HMG20B	4.71E-02	3.14E-01	9.21E-03	1.75E-01	7.00E-02	1.74E-01	9.18E-02
PHGDH	1.08E-02	2.02E-01	4.29E-02	2.75E-01	6.58E-01	3.19E-02	9.18E-02
COQ9	1.40E-01	4.71E-01	5.51E-04	8.49E-02	7.04E-01	8.69E-01	9.18E-02
PREX1	5.67E-03	1.66E-01	6.23E-02	3.16E-01	6.33E-01	1.31E-01	9.18E-02
SPCS3	1.17E-02	2.06E-01	4.02E-02	2.69E-01	1.11E-01	8.90E-01	9.18E-02
BTBD10	3.69E-02	2.88E-01	1.35E-02	1.89E-01	7.89E-01	8.62E-01	9.18E-02
