Gene	SCZ_p	SCZ_q	BPD_p	BPD_q	Vagas_PGC_SCZ_p	Vagas_PGC_BPD_p	t_product_q
C5orf13	2.70E-03	1.42E-01	3.48E-03	1.39E-01	1.12E-02	4.03E-01	2.60E-02
ACTR3	1.76E-02	2.31E-01	2.56E-04	6.70E-02	2.08E-01	6.72E-01	2.60E-02
TOB2	6.69E-04	9.58E-02	8.67E-03	1.73E-01	1.10E-01	8.96E-01	2.60E-02
TCERG1	6.61E-04	9.55E-02	8.56E-03	1.73E-01	5.71E-01	9.48E-01	2.60E-02
MORF4L1	1.23E-02	2.07E-01	5.89E-04	8.49E-02	1.74E-01	8.04E-01	2.60E-02
PPP1R16B	8.22E-03	1.87E-01	8.82E-04	9.44E-02	3.35E-04	6.85E-02	2.60E-02
CNPPD1	1.95E-02	2.38E-01	2.95E-04	7.05E-02	NA	NA	2.60E-02
TMEM161A	3.54E-02	2.84E-01	3.86E-05	5.22E-02	8.35E-01	2.13E-01	2.60E-02
MED9	1.17E-02	2.06E-01	4.09E-04	7.91E-02	6.76E-01	7.43E-01	2.60E-02
DHTKD1	2.79E-04	8.98E-02	1.51E-02	1.95E-01	6.94E-01	5.40E-01	2.60E-02
PCNP	3.49E-03	1.48E-01	2.40E-03	1.25E-01	7.94E-01	1.95E-01	2.60E-02
NEUROD6	1.88E-03	1.31E-01	4.33E-03	1.45E-01	1.75E-01	1.34E-01	2.60E-02
VWA1	5.45E-04	9.26E-02	1.14E-02	1.80E-01	9.26E-01	2.07E-01	2.60E-02
MARCKSL1	2.29E-03	1.36E-01	5.07E-03	1.49E-01	1.95E-01	1.72E-01	2.60E-02
ZMAT4	1.25E-02	2.07E-01	6.60E-04	8.49E-02	1.44E-01	4.28E-01	2.60E-02
LBH	1.67E-02	2.28E-01	3.15E-04	7.12E-02	1.85E-02	2.73E-02	2.60E-02
SELO	3.32E-02	2.81E-01	5.78E-05	5.22E-02	7.34E-01	4.81E-01	2.60E-02
PCBD2	1.89E-02	2.36E-01	2.60E-04	6.70E-02	3.00E-01	1.58E-01	2.60E-02
SLC46A1	1.33E-03	1.26E-01	5.51E-03	1.51E-01	4.69E-01	8.63E-02	2.60E-02
MOBKL2A	2.11E-04	8.60E-02	1.69E-02	1.99E-01	3.77E-01	2.97E-01	2.60E-02
C2orf60	1.76E-03	1.31E-01	5.46E-03	1.51E-01	1.41E-02	2.88E-01	2.60E-02
LDHD	6.26E-04	9.40E-02	1.31E-02	1.86E-01	9.55E-02	2.66E-01	2.60E-02
FUK	9.97E-04	1.17E-01	6.87E-03	1.60E-01	6.06E-01	3.17E-01	2.60E-02
LOC221710	1.90E-02	2.37E-01	3.03E-04	7.05E-02	NA	NA	2.60E-02
C19orf77	1.01E-03	1.18E-01	7.54E-03	1.65E-01	NA	NA	2.60E-02
C2orf68	6.31E-04	9.40E-02	1.16E-02	1.80E-01	3.74E-01	6.02E-01	2.60E-02
GATSL3	3.36E-02	2.81E-01	6.39E-05	5.22E-02	NA	NA	2.60E-02
TPP1	1.63E-03	1.30E-01	7.31E-03	1.64E-01	8.56E-02	6.86E-01	3.24E-02
HMGB2	1.42E-02	2.17E-01	6.62E-04	8.49E-02	6.21E-01	2.18E-01	3.24E-02
KIF5C	4.75E-02	3.14E-01	2.65E-05	5.22E-02	1.36E-02	6.13E-01	3.24E-02
MAL	1.13E-03	1.19E-01	1.13E-02	1.80E-01	6.35E-01	8.07E-01	3.24E-02
SLC25A1	1.45E-03	1.30E-01	8.07E-03	1.72E-01	3.28E-01	7.91E-01	3.24E-02
KCNAB1	3.81E-03	1.49E-01	3.79E-03	1.40E-01	1.62E-01	1.09E-02	3.24E-02
CREB5	2.53E-04	8.72E-02	2.21E-02	2.20E-01	5.00E-02	9.02E-01	3.24E-02
FRMPD4	8.84E-03	1.88E-01	1.76E-03	1.16E-01	NA	NA	3.24E-02
WDR1	1.69E-02	2.29E-01	5.40E-04	8.49E-02	1.77E-01	2.40E-01	3.24E-02
OPTN	5.01E-03	1.60E-01	2.72E-03	1.29E-01	2.72E-01	4.17E-01	3.24E-02
STK38	1.18E-03	1.19E-01	1.06E-02	1.78E-01	3.71E-01	7.63E-01	3.24E-02
DFNB31	6.24E-03	1.73E-01	2.83E-03	1.30E-01	1.12E-03	5.64E-01	3.24E-02
MOCS3	9.68E-03	1.96E-01	1.22E-03	1.07E-01	9.17E-04	1.69E-01	3.24E-02
COPS7A	8.52E-04	1.12E-01	1.38E-02	1.90E-01	1.91E-01	7.57E-01	3.24E-02
WSB2	1.31E-02	2.11E-01	7.29E-04	8.49E-02	3.61E-01	4.09E-01	3.24E-02
BBX	2.26E-04	8.60E-02	2.32E-02	2.21E-01	6.37E-02	3.32E-03	3.24E-02
COG6	1.38E-02	2.14E-01	7.56E-04	8.74E-02	9.51E-01	7.55E-01	3.24E-02
MPP5	3.24E-03	1.46E-01	5.27E-03	1.49E-01	1.84E-01	4.02E-01	3.24E-02
DSEL	1.13E-03	1.19E-01	1.19E-02	1.83E-01	7.55E-01	2.82E-01	3.24E-02
MRPS36	3.19E-02	2.80E-01	1.42E-04	5.48E-02	8.73E-01	6.11E-01	3.24E-02
TTYH2	4.90E-04	9.26E-02	1.60E-02	1.97E-01	9.24E-01	7.61E-01	3.24E-02
AASDH	3.61E-03	1.48E-01	5.03E-03	1.48E-01	5.58E-01	1.10E-01	3.24E-02
C3orf71	5.16E-04	9.26E-02	1.59E-02	1.97E-01	2.54E-01	5.78E-02	3.24E-02
